row_id,lat_deg,lon_deg,report_date,status_id,water_source,water_tech,facility_type,country_name,install_year,installer,pay,status
302002,-1.7344790198864197,30.02707053667409,02/24/2016,y,,,,Rwanda,2010.0,,,
302440,-1.7700133333333332,29.91821166666667,02/24/2016,n,,,,Rwanda,2015.0,,,
301991,-1.751337370829769,30.046644044533345,02/25/2016,n,,,,Rwanda,2011.0,,,
301965,-1.6603984939606202,29.909303843683446,02/26/2016,n,,,,Rwanda,2015.0,,,
302360,-1.7868233333333332,30.00161,03/11/2016,n,Piped Water,Tapstand,Improved,Rwanda,2012.0,,,
302219,-1.675571666666667,29.978748333333336,02/15/2016,y,,,,Rwanda,1997.0,,,
302365,-1.8327316666666669,29.99488833333333,02/23/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
301792,-1.9991666666666659,30.22265166666667,02/19/2016,n,Piped Water,Tapstand,Improved,Rwanda,2007.0,,,
302146,-1.7691825203134952,30.025065809782127,02/18/2016,u,Surface Water (River/Stream/Lake/Pond/Dam),Hand Pump - Vergnet,No facilities,Rwanda,,,,
301461,-2.042982168717296,30.114585373808797,02/23/2016,n,Piped Water,Tapstand,Improved,Rwanda,2009.0,,,
302024,-1.730503333333333,29.917834999999997,02/19/2016,n,,,,Rwanda,2014.0,,,
302446,-1.824323333333333,29.913405,02/25/2016,u,,,,Rwanda,,,,
301856,-1.9767971000000002,30.1142045,02/17/2016,n,,,,Rwanda,2002.0,,,
302167,-1.5901038413139188,29.903288059896077,02/15/2016,y,Protected Spring,,Improved,Rwanda,1964.0,,,
302497,-1.7059516666666668,29.93925,02/19/2016,y,Piped Water,Tapstand,Improved,Rwanda,2014.0,,,
302397,-1.781855,30.097586666666665,02/25/2016,y,Piped Water,Tapstand,Improved,Rwanda,2014.0,,,
302035,-1.6780483333333331,29.90776833333333,02/29/2016,n,,,,Rwanda,2014.0,,,
301456,-2.0188,30.13012833333333,02/23/2016,y,Piped Water,Tapstand,Improved,Rwanda,2005.0,,,
301522,-1.9986916666666668,30.07384166666667,02/25/2016,n,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
302067,-1.7134483333333341,29.90336833333333,02/23/2016,n,,,,Rwanda,2015.0,,,
302001,-1.7471883333333331,30.04090833333333,02/24/2016,y,,,,Rwanda,1998.0,,,
302060,1.7106880000000002,29.913808000000003,02/23/2016,y,,,,Rwanda,2015.0,,,
301575,-1.9992283333333332,30.123485,02/26/2016,n,Piped Water,Tapstand,Improved,Rwanda,2010.0,,,
302248,-1.664276666666666,30.03806833333333,02/23/2016,n,,,,Rwanda,2010.0,,,
301654,-1.971556666666666,30.13365,02/18/2016,y,Piped Water,Tapstand,Improved,Rwanda,2012.0,,,
301439,-2.018521666666666,30.12491833333333,06/04/2013,n,,,,Rwanda,2012.0,,,
301488,-1.9773283333333331,30.095868333333332,06/01/2013,n,,,,Rwanda,2000.0,,,
301539,-1.97481,30.082545,02/26/2016,y,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
302192,-1.6094016666666668,29.926426666666664,02/16/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
302050,-1.70082,29.944295000000004,03/11/2016,y,,,,Rwanda,2012.0,,,
302016,-1.7218099999999998,29.915640000000003,02/19/2016,y,,,,Rwanda,1939.0,,,
302314,-1.7807366666666669,29.95459333333333,02/18/2016,y,,,,Rwanda,2014.0,,,
301671,-1.970211666666667,30.09793,02/24/2016,y,Piped Water,Tapstand,Improved,Rwanda,2007.0,,,
301928,-1.9623549999999998,30.12867666666667,02/18/2016,n,Piped Water,Tapstand,Improved,Rwanda,2005.0,,,
302199,-1.674325,29.96207,02/16/2016,y,Protected Spring,,Improved,Rwanda,1950.0,,,
301796,-1.986718333333334,30.22072166666667,02/19/2016,y,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
301869,-1.966703333333333,30.11486833333333,02/17/2016,y,Protected Spring,,Improved,Rwanda,2005.0,,,
301686,-1.9678337085290734,30.094452968890423,02/24/2016,n,Piped Water,Tapstand,Improved,Rwanda,2012.0,,,
302282,-1.811063767796711,30.073912666310807,02/17/2016,y,,,,Rwanda,2012.0,,,
301554,-1.993963850406168,30.1156592214464,02/26/2016,y,Piped Water,Tapstand,Improved,Rwanda,2011.0,,,
301639,-1.9881616666666668,30.154221666666665,02/15/2016,n,,,,Rwanda,2013.0,,,
301590,-1.990168389049998,30.101192640898013,02/29/2016,y,Piped Water,Tapstand,Improved,Rwanda,2012.0,,,
302116,-1.7233150000000002,30.064435000000003,02/26/2016,y,,,,Rwanda,2015.0,,,
301824,-2.0304849999999997,30.19397833333333,02/29/2016,n,,,,Rwanda,2004.0,,,
302251,-1.630688333333333,30.03303,06/01/2013,y,,,,Rwanda,2014.0,,,
301884,-1.9613116666666668,30.115631666666665,02/17/2016,y,Piped Water,Tapstand,Improved,Rwanda,1998.0,,,
301984,-1.729753333333334,30.06506333333333,06/01/2013,y,,,,Rwanda,2014.0,,,
302056,-1.695881666666667,29.921190000000006,03/11/2016,n,,,,Rwanda,2012.0,,,
302441,-1.828655,29.92650666666667,02/25/2016,n,,,,Rwanda,2013.0,,,
301607,-2.018178333333333,30.14201333333333,02/15/2016,n,,Hand Pump - Afridev,,Rwanda,2012.0,,,
302216,-1.665888333333334,29.93303333333333,02/16/2016,n,,,,Rwanda,2015.0,,,
302346,-1.8341866666666669,29.98699166666667,02/19/2016,n,,,,Rwanda,2014.0,,,
301706,-1.9725833333333331,30.09784,02/24/2016,y,Piped Water,Tapstand,Improved,Rwanda,2005.0,,,
302084,-1.6653799999999999,29.886281666666665,06/03/2013,y,,,,Rwanda,1990.0,,,
302309,-1.76793,29.955245,03/11/2016,y,Protected Spring,,Improved,Rwanda,2012.0,,,
301750,-1.96626232829555,30.074858537153244,02/15/2016,y,,,,Rwanda,2013.0,,,
301507,-1.9913450000000001,30.08879666666667,02/25/2016,n,Piped Water,Tapstand,Improved,Rwanda,2010.0,,,
302478,-1.873255,29.974488333333333,02/26/2016,y,,,,Rwanda,2013.0,,,
302135,-1.6908633333333332,30.03554333333333,02/25/2016,y,Protected Spring,,Improved,Rwanda,1980.0,,,
301618,-1.973623333333333,30.12662333333333,02/29/2016,y,,,,Rwanda,2010.0,,,
301852,-1.9720639485794789,30.110218996415504,02/17/2016,y,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
302305,-1.7574116666666668,29.96418666666667,03/11/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
302378,-1.76806,30.08376833333333,02/25/2016,y,,,,Rwanda,2003.0,,,
302510,-1.6858433333333331,29.94493833333333,02/23/2016,y,,,,Rwanda,2013.0,,,
